pl_name,pl_orbper,pl_insol,pl_eqt,pl_rade,pl_bmasse,pl_orbeccen,st_teff,st_met,is_habitable,esi_score,hz_flux_ratio,in_habitable_zone,density_proxy,temp_delta_earth,stellar_class,star_G,star_Hot,star_K,star_M,esi_computed
OGLE-2016-BLG-1195L b,10.4048782332,625.7398000000001,1383.8,1.11,1.43,0.0,5794.4,0.0079999999999999,0,,625.7398000000001,0,1.0456036752603588,1128.8,G,True,False,False,False,0.2565
MOA-2009-BLG-266L b,2800.0,0.47714,179.254,3.21,10.4,0.1372,4560.6,-0.04912,0,,0.47714,1,0.31442584887647634,75.74600000000001,K,False,False,True,False,0.6298
Kepler-887 c,7.63846023,407.977,1089.0,1.13,1.51,0.0,6194.0,0.08,0,0.29473858,407.977,0,1.0465057450393205,834.0,F,False,False,False,False,0.3048
Kepler-306 d,17.326644,21.983,535.0,2.47,6.66,0.0,4954.0,-0.13,0,0.28486158,21.983,0,0.4419604116283898,280.0,K,False,False,True,False,0.4746
Kepler-177 c,49.40926,25.4,497.0,8.73,14.7,0.0,5732.0,-0.11,0,0.13936377,25.4,0,0.02209401291974008,242.0,G,True,False,False,False,0.4091
Kepler-52 c,16.3850021,8.55,433.0,1.84,45.4,0.012,4075.0,0.0,0,0.3922626,8.55,0,7.287899646585024,178.0,K,False,False,True,False,0.4497
Kepler-572 b,17.20523483,26.889,553.0,2.58,7.18,0.0,5212.0,-0.1,0,0.27494087,26.889,0,0.41808571246230813,298.0,K,False,False,True,False,0.4542
Kepler-1450 b,54.5094166,3.078,308.0,1.71,3.57,0.0,4524.0,-0.02,0,0.60358967,3.078,0,0.7139698704714662,53.0,K,False,False,True,False,0.7663
Kepler-882 b,3.989539666,259.029,903.0,1.23,2.04,0.0,5476.0,-0.03,0,0.29434795,259.029,0,1.0962631934469256,648.0,G,True,False,False,False,0.3422
HD 10180 f,122.744,6.1329,427.54,5.24,23.9,0.119,5911.0,0.08,0,0.29917806,6.1329,0,0.16611316000998178,172.54000000000002,G,True,False,False,False,0.477
Kepler-559 b,17.58752333,42.543,706.0,3.61,12.7,0.0,5630.0,0.03,0,0.21326383,42.543,0,0.2699492438030866,451.0,G,True,False,False,False,0.3539
TOI-1232 b,14.256,90.0659,785.71,10.92875618,220.57291446,0.065,5823.0,0.18,0,,90.0659,0,0.16898181507873286,530.71,G,True,False,False,False,0.201
TOI-4773 b,1.7452851,3879.8071,2255.0,15.22179579,1687.66884117,0.024,6740.0,0.11,0,,3879.8071,0,0.47850839150211477,2000.0,F,False,False,False,False,0.0577
Kepler-1312 b,5.448325286,219.117,978.0,2.1,5.06,0.0,5719.0,-0.02,0,0.25593781,219.117,0,0.5463772810711586,723.0,G,True,False,False,False,0.2956
WASP-22 b,3.53269,837.7034,1502.0,13.78707,212.9461,0.02,6000.0,-0.05,0,0.066513664,837.7034,0,0.08125568368062408,1247.0,F,False,False,False,False,0.113
Kepler-272 b,2.971353,801.741,1200.0,1.43,78.0,0.0,5297.0,0.04,0,0.28342827,801.741,0,26.673898256860753,945.0,K,False,False,True,False,0.1688
Kepler-35 b,131.458,2.5804,352.89,8.16,40.363,0.042,5606.0,-0.34,0,0.36510786,2.5804,0,0.07428702419789522,97.88999999999999,G,True,False,False,False,0.4996
